종목 코드,캔들 기준 시각(UTC기준),캔들 기준 시각(KST기준),시가,고가,저가,종가,마지막 틱이 저장된 시각,누적 거래 금액,누적 거래량,전일 종가(UTC 0시 기준),전일 종가 대비 변화 금액,전일 종가 대비 변화량,전일 종가 대비 변화량의 절댓값,고가 대비 저가 백분율
KRW-BTC,2024-01-08,2024-01-08T09:00:00,59105000.0,63410000.0,57801000.0,63010000.0,1704758398513,677313414712.9883,11161.48689391,59108000.0,3902000.0,0.0660147527,6.60147527,9.703984360132178
KRW-BTC,2024-01-12,2024-01-12T09:00:00,63560000.0,63820000.0,58200000.0,59435000.0,1705103999704,705250093415.7546,11517.51602146,63550000.0,-4115000.0,-0.0647521637,6.47521637,9.65635738831615
KRW-BTC,2024-02-27,2024-02-27T09:00:00,74741000.0,79183000.0,74554000.0,78619000.0,1709078399748,789427020915.4601,10168.66847875,74742000.0,3877000.0,0.0518717722,5.18717722,6.208922391823377
KRW-BTC,2024-02-28,2024-02-28T09:00:00,78621000.0,88424000.0,78082000.0,87634000.0,1709164799992,1605842409329.8965,19254.09747335,78619000.0,9015000.0,0.114666938,11.4666938,13.24505007556159
KRW-BTC,2024-03-04,2024-03-04T09:00:00,87978000.0,95586000.0,87302000.0,95500000.0,1709596799974,1211101233989.3242,13254.11820787,87982000.0,7518000.0,0.0854492964,8.54492964,9.488900597924449
KRW-BTC,2024-03-19,2024-03-19T09:00:00,99042000.0,99700000.0,92027000.0,92572000.0,1710892799534,1333253975751.9326,14040.62247096,99040000.0,-6468000.0,-0.0653069467,6.530694669999999,8.337770436936985
KRW-BTC,2024-03-20,2024-03-20T09:00:00,92541000.0,100216000.0,89845000.0,99726000.0,1710979199913,1336501266984.0964,14156.97655657,92572000.0,7154000.0,0.0772803872,7.72803872,11.543213311814792
KRW-BTC,2024-05-03,2024-05-03T09:00:00,83096000.0,89821000.0,82807000.0,89291000.0,1714780799814,693338249542.2839,8040.2538403,83078000.0,6213000.0,0.0747851417,7.47851417,8.470298404724238
KRW-BTC,2024-05-15,2024-05-15T09:00:00,86500000.0,92444000.0,86200000.0,92111000.0,1715817599730,473734749005.6969,5272.78652607,86500000.0,5611000.0,0.064867052,6.486705199999999,7.243619489559165
KRW-BTC,2024-05-20,2024-05-20T09:00:00,92185000.0,97264000.0,91931000.0,97260000.0,1716249600031,416886189056.5984,4413.1861654,92185000.0,5075000.0,0.0550523404,5.50523404,5.801089947895704
KRW-BTC,2024-07-15,2024-07-15T09:00:00,85430000.0,91294000.0,85269000.0,91162000.0,1721088000042,449269971924.1909,5087.5047679,85430000.0,5732000.0,0.067095868,6.7095868,7.06587388148096
KRW-BTC,2024-08-02,2024-08-02T09:00:00,91789000.0,92200000.0,86377000.0,86691000.0,1722643199912,453754064161.6217,5089.66250349,91789000.0,-5098000.0,-0.0555404242,5.55404242,6.741377913101867
KRW-BTC,2024-08-08,2024-08-08T09:00:00,78386000.0,87980000.0,77941000.0,86397000.0,1723161600022,589875336679.084,7126.01269616,78388000.0,8009000.0,0.1021712507,10.21712507,12.880255577937158
KRW-BTC,2024-11-06,2024-11-06T09:00:00,96196000.0,104395000.0,96104000.0,104085000.0,1730937600047,1745207534538.4504,17173.68278488,96170000.0,7915000.0,0.0823021732,8.23021732,8.627112295013735
KRW-BTC,2024-11-11,2024-11-11T09:00:00,111440000.0,125073000.0,111273000.0,124503000.0,1731369599856,1413170980237.129,12056.83132426,111440000.0,13063000.0,0.1172200287,11.72200287,12.40193038742552
