종목 코드,캔들 기준 시각(UTC기준),캔들 기준 시각(KST기준),시가,고가,저가,종가,마지막 틱이 저장된 시각,누적 거래 금액,누적 거래량,전일 종가(UTC 0시 기준),전일 종가 대비 변화 금액,전일 종가 대비 변화량,전일 종가 대비 변화량의 절댓값,고가 대비 저가 백분율
KRW-BTC,2024-12-31,2024-12-31T09:00:00,137865000.0,143483000.0,136032000.0,139257000.0,1735689599609,518936721897.5508,3707.45981864,137892000.0,1365000.0,0.0098990514,0.0098990514,5.477387673488591
KRW-BTC,2024-12-30,2024-12-30T09:00:00,139831000.0,140680000.0,135971000.0,137892000.0,1735603199382,520848698110.80096,3767.66978148,139735000.0,-1843000.0,-0.0131892511,0.0131892511,3.46323848467688
KRW-BTC,2024-12-29,2024-12-29T09:00:00,142306000.0,142380000.0,138600000.0,139735000.0,1735516799943,306515266961.3944,2180.40637674,142302000.0,-2567000.0,-0.0180390999,0.0180390999,2.727272727272727
KRW-BTC,2024-12-28,2024-12-28T09:00:00,142107000.0,143000000.0,141487000.0,142302000.0,1735430399613,186348569009.08533,1311.56387337,142111000.0,191000.0,0.0013440198,0.0013440198,1.0693561952688233
KRW-BTC,2024-12-27,2024-12-27T09:00:00,144016000.0,146117000.0,141466000.0,142111000.0,1735343999444,464668960489.2536,3231.26328398,144076000.0,-1965000.0,-0.0136386352,0.0136386352,3.287715776228917
KRW-BTC,2024-12-26,2024-12-26T09:00:00,148216000.0,149000000.0,143175000.0,144076000.0,1735257600013,499177709089.0282,3432.78442974,148081000.0,-4005000.0,-0.0270460086,0.0270460086,4.068447703858914
KRW-BTC,2024-12-25,2024-12-25T09:00:00,146832000.0,148566000.0,145395000.0,148081000.0,1735171199616,428212289354.5488,2911.45446585,146831000.0,1250000.0,0.0085131886,0.0085131886,2.1809553285876406
KRW-BTC,2024-12-24,2024-12-24T09:00:00,142901000.0,148148000.0,141000000.0,146831000.0,1735084799762,626598586872.3685,4333.3309919,142901000.0,3930000.0,0.027501557,0.027501557,5.069503546099291
KRW-BTC,2024-12-23,2024-12-23T09:00:00,144802000.0,146200000.0,140487000.0,142901000.0,1734998399512,703151196031.0725,4913.29053371,144800000.0,-1899000.0,-0.0131146409,0.0131146409,4.066568436937225
KRW-BTC,2024-12-22,2024-12-22T09:00:00,147836000.0,147950000.0,143850000.0,144800000.0,1734911999828,379824698691.6058,2605.0749353,147830000.0,-3030000.0,-0.0204965163,0.0204965163,2.850191171359054
KRW-BTC,2024-12-21,2024-12-21T09:00:00,148138000.0,149700000.0,145249000.0,147830000.0,1734825599886,548294648910.75867,3714.24805316,148138000.0,-308000.0,-0.0020791424,0.0020791424,3.064392870174665
KRW-BTC,2024-12-20,2024-12-20T09:00:00,147474000.0,148460000.0,139800000.0,148138000.0,1734739199969,1670193715564.6172,11567.34620544,147474000.0,664000.0,0.0045024886,0.0045024886,6.194563662374821
KRW-BTC,2024-12-19,2024-12-19T09:00:00,147753000.0,153299000.0,145000000.0,147474000.0,1734652799993,1266525021155.8596,8471.89272515,147754000.0,-280000.0,-0.0018950418,0.0018950418,5.723448275862069
KRW-BTC,2024-12-18,2024-12-18T09:00:00,155222000.0,155949000.0,147189000.0,147754000.0,1734566399998,1309628152098.7222,8610.82270357,155223000.0,-7469000.0,-0.0481178691,0.0481178691,5.951531704135499
KRW-BTC,2024-12-17,2024-12-17T09:00:00,153403000.0,157198000.0,152885000.0,155223000.0,1734479999982,958745671966.822,6186.2803434,153403000.0,1820000.0,0.0118641748,0.0118641748,2.8210746639631097
KRW-BTC,2024-12-16,2024-12-16T09:00:00,149243000.0,154924000.0,149016000.0,153403000.0,1734393600028,1082807876503.8628,7128.61771091,149243000.0,4160000.0,0.0278740041,0.0278740041,3.96467493423525
KRW-BTC,2024-12-15,2024-12-15T09:00:00,145927000.0,150000000.0,145684000.0,149243000.0,1734307199985,691840989089.0537,4680.01328552,145927000.0,3316000.0,0.0227236906,0.0227236906,2.962576535515225
KRW-BTC,2024-12-14,2024-12-14T09:00:00,144432000.0,146051000.0,143973000.0,145927000.0,1734220799329,464300625877.87177,3195.75670317,144402000.0,1525000.0,0.0105607956,0.0105607956,1.4433261792141583
KRW-BTC,2024-12-13,2024-12-13T09:00:00,142780000.0,144865000.0,142001000.0,144402000.0,1734134399564,361979534829.5213,2524.28189889,142757000.0,1645000.0,0.0115230777,0.0115230777,2.016887205019683
KRW-BTC,2024-12-12,2024-12-12T09:00:00,143111000.0,145000000.0,142000000.0,142757000.0,1734047999763,589232066932.0105,4109.65334521,143111000.0,-354000.0,-0.0024736044,0.0024736044,2.112676056338028
KRW-BTC,2024-12-11,2024-12-11T09:00:00,138205000.0,144276000.0,136500000.0,143111000.0,1733961599962,813102473508.0792,5786.50262004,138205000.0,4906000.0,0.0354979921,0.0354979921,5.696703296703297
KRW-BTC,2024-12-10,2024-12-10T09:00:00,138934000.0,140000000.0,135490000.0,138205000.0,1733875199696,789776192066.2788,5715.11068532,138864000.0,-659000.0,-0.0047456504,0.0047456504,3.328658941619308
KRW-BTC,2024-12-09,2024-12-09T09:00:00,141056000.0,141399000.0,135900000.0,138864000.0,1733788799730,865791701454.2142,6238.33236659,141005000.0,-2141000.0,-0.0151838587,0.0151838587,4.046357615894039
KRW-BTC,2024-12-08,2024-12-08T09:00:00,138970000.0,141400000.0,138620000.0,141005000.0,1733702399769,359805956088.11163,2575.9253391,138960000.0,2045000.0,0.0147164652,0.0147164652,2.005482614341365
KRW-BTC,2024-12-07,2024-12-07T09:00:00,139402000.0,140411000.0,137698000.0,138960000.0,1733615999694,367591447543.7199,2646.58094433,139340000.0,-380000.0,-0.0027271422,0.0027271422,1.9702537436999807
KRW-BTC,2024-12-06,2024-12-06T09:00:00,137501000.0,141502000.0,136000000.0,139340000.0,1733529599985,854124438187.2275,6179.75810181,137501000.0,1839000.0,0.0133744482,0.0133744482,4.045588235294118
KRW-BTC,2024-12-05,2024-12-05T09:00:00,138765000.0,146100000.0,134000000.0,137501000.0,1733443200001,1924495041794.7664,13579.28987411,138760000.0,-1259000.0,-0.0090732199,0.0090732199,9.029850746268655
KRW-BTC,2024-12-04,2024-12-04T09:00:00,133720000.0,139920000.0,133499000.0,138760000.0,1733356800018,948860236172.9866,6969.87081198,133700000.0,5060000.0,0.0378459237,0.0378459237,4.80977385598394
KRW-BTC,2024-12-03,2024-12-03T09:00:00,133523000.0,134680000.0,88266000.0,133700000.0,1733270399967,2304644374164.456,18097.08425608,133535000.0,165000.0,0.0012356311,0.0012356311,52.58423401989441
KRW-BTC,2024-12-02,2024-12-02T09:00:00,133802000.0,135800000.0,132260000.0,133535000.0,1733183999993,718060616005.2106,5356.7748251,133802000.0,-267000.0,-0.0019954859,0.0019954859,2.676546196884924
KRW-BTC,2024-12-01,2024-12-01T09:00:00,133722000.0,135199000.0,133297000.0,133802000.0,1733097599734,380928725281.3921,2835.14649803,133701000.0,101000.0,0.0007554169,0.0007554169,1.4268888272054134
KRW-BTC,2024-11-30,2024-11-30T09:00:00,134542000.0,134809000.0,133600000.0,133701000.0,1733011199713,318361460355.6218,2374.86697435,134542000.0,-841000.0,-0.0062508362,0.0062508362,0.9049401197604792
KRW-BTC,2024-11-29,2024-11-29T09:00:00,133144000.0,136274000.0,132850000.0,134542000.0,1732924799573,465090047941.2612,3455.81025362,133138000.0,1404000.0,0.0105454491,0.0105454491,2.577342867896124
KRW-BTC,2024-11-28,2024-11-28T09:00:00,132999000.0,134577000.0,131438000.0,133138000.0,1732838399971,391492800868.5813,2941.11026977,132999000.0,139000.0,0.0010451206,0.0010451206,2.388198237952494
KRW-BTC,2024-11-27,2024-11-27T09:00:00,128800000.0,134300000.0,127900000.0,132999000.0,1732751999389,572062774905.5735,4363.00829391,128783000.0,4216000.0,0.0327372402,0.0327372402,5.003909304143862
KRW-BTC,2024-11-26,2024-11-26T09:00:00,129791000.0,132579000.0,127416000.0,128783000.0,1732665599361,915544005066.4464,7063.28251032,129791000.0,-1008000.0,-0.007766332,0.007766332,4.0520813712563575
KRW-BTC,2024-11-25,2024-11-25T09:00:00,136110000.0,136169000.0,129688000.0,129791000.0,1732579200004,712473615692.348,5347.73938417,136096000.0,-6305000.0,-0.0463275923,0.0463275923,4.997378323360681
KRW-BTC,2024-11-24,2024-11-24T09:00:00,136000000.0,137000000.0,131501000.0,136096000.0,1732492799843,856406820436.9347,6366.61145855,136000000.0,96000.0,0.0007058824,0.0007058824,4.181717249298484
KRW-BTC,2024-11-23,2024-11-23T09:00:00,136879000.0,137178000.0,134195000.0,136000000.0,1732406399883,649192517920.03,4775.60238543,136879000.0,-879000.0,-0.0064217301,0.0064217301,2.222884608219382
KRW-BTC,2024-11-22,2024-11-22T09:00:00,137050000.0,138770000.0,129500000.0,136879000.0,1732319999971,1212497778066.893,8879.19477738,137050000.0,-171000.0,-0.0012477198,0.0012477198,7.158301158301159
KRW-BTC,2024-11-21,2024-11-21T09:00:00,133180000.0,138707000.0,133001000.0,137050000.0,1732233600034,1413215255697.4194,10359.96751008,133180000.0,3870000.0,0.0290584172,0.0290584172,4.290193306817242
KRW-BTC,2024-11-20,2024-11-20T09:00:00,129711000.0,133328000.0,128448000.0,133180000.0,1732147199594,778377471488.7765,5931.35430049,129720000.0,3460000.0,0.0266728338,0.0266728338,3.799202790234181
KRW-BTC,2024-11-19,2024-11-19T09:00:00,127142000.0,130998000.0,127050000.0,129720000.0,1732060800030,649348478627.2478,5034.84094069,127142000.0,2578000.0,0.0202765412,0.0202765412,3.107438016528925
KRW-BTC,2024-11-18,2024-11-18T09:00:00,126469000.0,128895000.0,126133000.0,127142000.0,1731974400007,660914839727.5431,5182.38906938,126472000.0,670000.0,0.0052976153,0.0052976153,2.1897520870826828
KRW-BTC,2024-11-17,2024-11-17T09:00:00,127130000.0,128000000.0,125252000.0,126472000.0,1731888000024,421512902761.08,3321.82583352,127071000.0,-599000.0,-0.0047139001,0.0047139001,2.1939769424839524
KRW-BTC,2024-11-16,2024-11-16T09:00:00,128128000.0,129103000.0,126090000.0,127071000.0,1731801600029,499883409180.5182,3914.09648698,128236000.0,-1165000.0,-0.0090848124,0.0090848124,2.389563010548021
KRW-BTC,2024-11-15,2024-11-15T09:00:00,123543000.0,128950000.0,123370000.0,128236000.0,1731715199942,750816994986.7344,5943.50915703,123572000.0,4664000.0,0.0377431781,0.0377431781,4.522979654697252
KRW-BTC,2024-11-14,2024-11-14T09:00:00,128111000.0,130500000.0,121674000.0,123572000.0,1731628799859,1165804427242.5054,9173.07983888,128111000.0,-4539000.0,-0.0354302129,0.0354302129,7.25380935943587
KRW-BTC,2024-11-13,2024-11-13T09:00:00,124951000.0,131041000.0,122771000.0,128111000.0,1731542399999,1421545614830.135,11214.08048901,124967000.0,3144000.0,0.0251586419,0.0251586419,6.736118464458219
KRW-BTC,2024-11-12,2024-11-12T09:00:00,124476000.0,128010000.0,118864000.0,124967000.0,1731455999900,2115375980647.706,17037.75956278,124503000.0,464000.0,0.0037268178,0.0037268178,7.694508009153318
KRW-BTC,2024-11-11,2024-11-11T09:00:00,111440000.0,125073000.0,111273000.0,124503000.0,1731369599856,1413170980237.129,12056.83132426,111440000.0,13063000.0,0.1172200287,0.1172200287,12.40193038742552
KRW-BTC,2024-11-10,2024-11-10T09:00:00,106294000.0,112470000.0,106050000.0,111440000.0,1731283200020,889548072877.27,8111.0365608,106294000.0,5146000.0,0.0484128925,0.0484128925,6.053748231966054
KRW-BTC,2024-11-09,2024-11-09T09:00:00,106845000.0,106990000.0,105873000.0,106294000.0,1731196799441,287678813640.0703,2702.45288762,106843000.0,-549000.0,-0.0051383806,0.0051383806,1.055037639435928
KRW-BTC,2024-11-08,2024-11-08T09:00:00,104177000.0,107591000.0,104109000.0,106843000.0,1731110399827,539366060581.3163,5104.85574163,104115000.0,2728000.0,0.0262017961,0.0262017961,3.3445715548127444
KRW-BTC,2024-11-07,2024-11-07T09:00:00,104085000.0,104999000.0,102290000.0,104115000.0,1731023999859,572085674515.601,5517.18974843,104085000.0,30000.0,0.000288226,0.000288226,2.648352722651285
KRW-BTC,2024-11-06,2024-11-06T09:00:00,96196000.0,104395000.0,96104000.0,104085000.0,1730937600047,1745207534538.4504,17173.68278488,96170000.0,7915000.0,0.0823021732,0.0823021732,8.627112295013735
